publications;siteName;siteType;country;region;town;lat;lon;distCoastKm;elevationM;refIndividualIsoarch;refIndividualInPubli;individualType;individualRelDatingLowerLimit;individualRelDatingUpperLimit;individualRelDatingIsReliable;individualAbsDatingMatIsOrganic;individualAbsDatingLabNum;individualAbsDatingConvAgeMean;individualAbsDatingConvAgeUncertainity;individualAbsDating2SigmaCalibratedResLowerLimit;humanSex;agePubliClassName;humanAgeClass;humanAgeEstimMin;humanAgeEstimMax;humanStatureCm;humanBonePreservLevel;humanSkelRepresLevel;funeraryStructNum;funeraryDepositionType;funeraryInhumationType1;funeraryInhumationType2;funeraryContainerType;funeraryBurialType1;funeraryBurialType2;funeraryInhumationPosition;funeraryBodyOrientation;faunaClass;faunaOrder;faunaFamily;faunaSubfamily;faunaGenus;faunaSpecies;plantMetabolism;plantFamily;plantGenus;plantSpecies;refSampleIsoarch;sampleType;sampleSubType;skelPart;teethCategory;teethType;teethNum;refMeasureOrganicIsoarch;d13C;d15N;d34S;%Col;%C;%N;C/N;measureOrganiclChronologicalOrder;dDOrganic;refMeasureMineralIsoarch;d13CCarb;d18OCarb;d13CPhos;d18OPhos;dDMineral;Sr87/Sr86;srConcentration;measureMineralChronologicalOrder
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6410";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Apiaceae";"Anethum";"Anethum graveolens";"7448";"Stem";"";"";"";"";"";"10263";"-29.5";"7.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6411";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7449";"Seed";"";"";"";"";"";"10264";"-31.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6412";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Oryza";"Oryza sativa";"7450";"Seed";"";"";"";"";"";"10265";"-26.7";"7.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6413";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Pisum";"Pisum sativum";"7451";"Seed";"";"";"";"";"";"10266";"-27.7";"-0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6414";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Pisum";"Pisum sativum";"7452";"Shell";"";"";"";"";"";"10267";"-29.2";"-0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6415";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Poaceae";"Triticum";"";"7453";"Seed";"";"";"";"";"";"10268";"-22.9";"10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6416";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Brassicaceae";"Brassica";"Brassica rapa";"7454";"Leaf";"";"";"";"";"";"10269";"-25.3";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6417";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Brassicaceae";"Eruca";"Eruca sativa";"7455";"Stem";"";"";"";"";"";"10270";"-27.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6418";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C4";"Poaceae";"Setaria";"Setaria viridis";"7456";"Grain";"";"";"";"";"";"10271";"-10.8";"2.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6419";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C4";"Poaceae";"Digitaria";"Digitaria sanguinalis";"7457";"Grain";"";"";"";"";"";"10272";"-10.6";"9.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6420";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C4";"Poaceae";"Pennisetum";"Pennisetum divisum";"7458";"Grain";"";"";"";"";"";"10273";"-12.1";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6421";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C4";"Poaceae";"Panicum";"Panicum coloratum";"7459";"Grain";"";"";"";"";"";"10274";"-13.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6422";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C4";"Poaceae";"Sorghum";"Sorghum durra";"7460";"Grain";"";"";"";"";"";"10275";"-10.9";"8.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6423";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C4";"Poaceae";"Sorghum";"Sorghum sudanensis";"7461";"Grain";"";"";"";"";"";"10276";"-12.4";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6424";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Triticum";"Triticum aestivum";"7462";"Grain";"";"";"";"";"";"10277";"-30.0";"6.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6425";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7463";"Grain";"";"";"";"";"";"10278";"-22.1";"7.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6426";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Vigna";"Vigna membranaceae";"7464";"Grain";"";"";"";"";"";"10279";"-25.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6427";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Cajanus";"Cajanus cajan";"7465";"Grain";"";"";"";"";"";"10280";"-27.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6428";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Acacia";"Acacia nilotica";"7466";"Grain";"";"";"";"";"";"10281";"-25.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6429";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Acacia";"Acacia albida";"7467";"Grain";"";"";"";"";"";"10282";"-27.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6430";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Malvaceae";"Abelmoschus";"Abelmoschus esculentus";"7468";"Leaf";"";"";"";"";"";"10283";"-21.0";"6.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6431";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Brassicaceae";"Eruca";"Eruca sativa";"7469";"Leaf";"";"";"";"";"";"10284";"-30.3";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6432";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Brassicaceae";"Raphanus";"Raphanus sativus";"7470";"Leaf";"";"";"";"";"";"10285";"-30.5";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6433";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Amaryllidaceae";"Allium";"Allium cepa";"7471";"Skin";"";"";"";"";"";"10286";"-28.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6434";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Solanaceae";"Solanum";"Solanum melongena";"7472";"Leaf";"";"";"";"";"";"10287";"-28.4";"3.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6435";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Malvaceae";"Corchorus";"Corchorus olitorius";"7473";"Leaf";"";"";"";"";"";"10288";"-28.2";"13.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"White ans Schwarcz 1994";"";"";"Egypt";"Nubia";"Aswan";"24.0861110";"32.8919440";"233";"93";"6436";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Malvaceae";"Hibiscus";"Hibiscus sabdariffa";"7474";"Fruit";"";"";"";"";"";"10289";"-23.3";"6.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
